Gare de Yverdon-les-Bains
État au 23 janvier 2025
Heure de départ      Ligne   Destination         Vias                                                                                                                                                                                                   Voie
0 01                 IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
0 04                 S30     Payerne             Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne                                                                                                                                                   3
0 15                 R       Grandson            Grandson                                                                                                                                                                                               1
0 20                 R       Lausanne            Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne                                                                        2
0 36                 IC 5    Biel/Bienne         Neuchâtel, Biel/Bienne                                                                                                                                                                                 1
0 47                 R       Grandson            Grandson                                                                                                                                                                                               1
4 35                 R       Ste-Croix           Yverdon William Barbey, La Brinaz, Valeyres-sous-Montagny, Essert-sous-Champvent, Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                        13
4 44                 R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
5 01                 R       Ste-Croix           Yverdon William Barbey, La Brinaz, Valeyres-sous-Montagny, Essert-sous-Champvent, Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                        13
5 04                 S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3D
5 05                 R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
5 15                 R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
5 17                 R       Grandson            Grandson                                                                                                                                                                                               1
5 33                 R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
5 34                 S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
5 42                 IR 57   Genève-Aéroport     Morges, Gland, Nyon, Genève, Genève-Aéroport                                                                                                                                                           2
5 47                 R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
5 51                 R       Grandson            Grandson                                                                                                                                                                                               1
5 59                 IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
6 01                 IC 5    Rorschach           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                       1
6 03                 R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
6 04                 S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3D
6 05                 R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
6 15                 R       Grandson            Grandson                                                                                                                                                                                               1
6 17                 R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
6 29                 IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
6 31                 IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                 1
6 33                 R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
6 34                 S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
6 42                 IR 57   Genève-Aéroport     Morges, Gland, Nyon, Genève, Genève-Aéroport                                                                                                                                                           2
6 45                 R       Grandson            Grandson                                                                                                                                                                                               1
6 47                 R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
6 59                 IC      Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
7 01                 IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
7 03                 R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
7 04                 S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
7 05                 R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
7 15                 R       Grandson            Grandson                                                                                                                                                                                               1
7 17                 R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
7 20                 IR 57   Neuchâtel           Neuchâtel                                                                                                                                                                                              1
7 29                 IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
7 31                 IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
7 33                 R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
Heure de départ   Ligne   Destination         Vias                                                                                                                                                                                                   Voie
7 34              S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
7 42              IR 57   Genève-Aéroport     Morges, Gland, Nyon, Genève, Genève-Aéroport                                                                                                                                                           2
7 45              R       Grandson            Grandson                                                                                                                                                                                               1
7 47              R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
7 59              IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
8 01              IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
8 03              R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
8 04              S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
8 05              R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
8 15              R       Grandson            Grandson                                                                                                                                                                                               1
8 17              R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
8 20              IR 57   Neuchâtel           Neuchâtel                                                                                                                                                                                              1
8 29              IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
8 31              IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                 1
8 33              R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
8 34              S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
8 42              IR 57   Genève-Aéroport     Morges, Gland, Nyon, Genève, Genève-Aéroport                                                                                                                                                           2
8 45              R       Grandson            Grandson                                                                                                                                                                                               1
8 47              R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
8 59              IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
9 01              IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
9 04              S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
9 05              R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
9 15              R       Grandson            Grandson                                                                                                                                                                                               1
9 17              R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
9 29              IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
9 31              IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
9 33              R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
9 34              S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
9 45              R       Grandson            Grandson                                                                                                                                                                                               1
9 47              R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
9 59              IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
10 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
10 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
10 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
10 15             R       Grandson            Grandson                                                                                                                                                                                               1
10 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
10 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
10 31             IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                 1
10 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
10 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
10 45             R       Grandson            Grandson                                                                                                                                                                                               1
10 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
10 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
11 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
11 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
Heure de départ   Ligne   Destination         Vias                                                                                                                                                                                                   Voie
11 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
11 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
11 15             R       Grandson            Grandson                                                                                                                                                                                               1
